step value prob
3 76 3.842204876545449e-12
4 76 1.100864398720298e-11
1 77 8.251810955153028e-13
2 77 2.476984046590958e-11
3 77 7.910036360007418e-12
4 77 2.349973268253895e-11
1 78 3.644015063232791e-13
2 78 1.039373493077191e-11
3 78 3.338206630987913e-12
4 78 9.874625848289761e-12
1 79 3.290341842347714e-13
2 79 9.271744217259419e-12
3 79 2.936037037379101e-12
4 79 8.853864580602234e-12
1 80 2.673382830084302e-12
2 80 7.953675006375774e-11
3 80 2.539495960617967e-11
4 80 7.034860091657276e-11
1 81 4.266807146604664e-13
2 81 1.204712000852908e-11
3 81 3.750652787855177e-12
4 81 1.13077246979961e-11
1 82 1.276544602864193e-13
2 82 3.495604819484949e-12
